"","X","business_id","name","categories","city","state","stars","review_count","BusinessParking_street","BusinessParking_validated","BusinessParking_lot","BusinessParking_valet","BikeParking","Caters","WheelchairAccessible","OutdoorSeating","GoodForMeal_latenight","GoodForMeal_lunch","GoodForMeal_dinner","GoodForMeal_breakfast","GoodForMeal_brunch","CoatCheck","DogsAllowed","NumberOfCheckins","BusinessType"
"1",1,"--9e1ONYQuAa-CB_Rrw7Tw","""Delmonico Steakhouse""","Cajun/Creole;Steakhouses;Restaurants","Las Vegas","NV",4,1451,1,0,0,0,1,1,1,0,0,0,0,1,0,0,0,2568,"Good"
"2",2,"-01XupAWZEXbdNbxNg5mEg","""18 Degrees Neighborhood Grill""","Sports Bars;Nightlife;Restaurants;American (Traditional);Bars","Scottsdale","AZ",3,77,1,0,0,1,1,0,0,1,0,0,1,0,1,0,1,295,"Good"
"3",3,"-05uZNVbb8DhFweTEOoDVg","""Subway""","Sandwiches;Fast Food;Restaurants","Rantoul","IL",2,3,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,23,"Bad"
"4",4,"-092wE7j5HZOogMLAh40zA","""Wong's Jr""","Restaurants;Chinese","Peoria","AZ",3.5,83,0,0,0,1,1,1,1,1,0,0,1,1,0,0,0,72,"Good"
"5",5,"-0aIra_B6iALlfqAriBSYA","""Tea2go""","Restaurants;Food;Tea Rooms;Coffee & Tea","Phoenix","AZ",4.5,32,0,0,0,1,1,1,1,0,0,0,1,1,0,0,0,73,"Good"
"6",7,"-0Sgh0QlUKVsWosCWJzGqQ","""Domino's Pizza""","Pizza;Sandwiches;Restaurants;Chicken Wings","Tempe","AZ",2,44,0,0,0,0,1,1,1,1,0,0,1,1,0,0,0,23,"Bad"
"7",8,"-0tgMGl7D9B10YjSN2ujLA","""Dubliner""","Bars;Nightlife;Irish;Arts & Entertainment;Music Venues;Restaurants;Pubs;Irish Pub","Phoenix","AZ",3.5,120,1,0,0,0,1,1,1,0,0,0,1,1,0,0,0,772,"Good"
"8",9,"-0WegMt6Cy966qlDKhu6jA","""Game Seven Grill""","Burgers;Restaurants;American (Traditional);Barbeque","Phoenix","AZ",2,77,1,0,0,0,1,1,1,1,1,0,1,1,0,0,0,340,"Bad"
"9",11,"-1ea69SVW-MJsaGQrA48dQ","""Jimmy Johns""","Sandwiches;Restaurants;Delis","Macedonia","OH",2,4,0,0,0,0,1,0,1,1,0,1,1,1,1,0,0,18,"Bad"
"10",12,"-1HW4ALuB331RgjwHOA0Nw","""Wendy's""","Fast Food;Restaurants;Burgers","Stow","OH",2.5,4,0,0,0,0,1,1,1,0,0,0,1,1,0,0,1,17,"Bad"
